Twi,English
ɛna,one
abofra,child
anomaa,bird
nsuo,water
adɛn,what
ɔkra,okra
ɔhaw,house
aduane,animal
aso,cloth
nkrɔfo,person
ɔsoro,sky
nkwadaa,tree
mfe,food
adaka,car
ahohyɛde,calendar
aduro,medicine
anadwo,night
adom,grace
anane,sheep
animguase,book
ɛkwan,sand
apɛsɛ,shoe
ahantan,bird
anom,fish
ama,carpenter
afɔre,gun
asaase,earth
adwene,road
apem,hand
amanne,knife
asuo,rain
ahemfie,church
atadwe,palm tree
ahemfo,congregation
ayɛ,it is
afoforo,mirror
akoma,heart
agya,father
abena,girl
anadwo,yesterday
anansesɛm,spider
anomanso,cow
ɛbɛ,will
adaduanan,door
atadwe,palm wine
ɛtɔ,nose
akoma,love
adɔe,foolishness
adaka,boat
adaka,chair
awerɛhow,teacher